"Time stamp","Card number","Group","Phone","Email","Comments","Status2"
"03/06/13 7:30:57 PM","905427800","None","","","","N/A"
"03/06/13 7:00:53 PM","905610882","None","","","","N/A"
"03/06/13 7:00:08 PM","905586772","None","","","","N/A"
"03/06/13 6:58:39 PM","905622301","None","","","","N/A"
"03/06/13 6:42:25 PM","905663923","None","","","","N/A"
"03/06/13 6:41:11 PM","905737222","None","","","","N/A"
"03/06/13 6:40:51 PM","905694712","None","","","","N/A"
"03/06/13 6:31:09 PM","905748589","None","","","","N/A"
"03/06/13 6:21:15 PM","905719928","None","","","","N/A"
"03/06/13 6:20:04 PM","905748376","None","","","","N/A"
"03/06/13 6:19:34 PM","905696234","None","","","","N/A"
"03/06/13 6:18:25 PM","905696681","None","","","","N/A"
"03/06/13 6:16:37 PM","905714989","None","","","","N/A"
"03/06/13 6:09:41 PM","905371496","None","","","","N/A"
"03/06/13 6:08:13 PM","905705541","None","","","","N/A"
"03/06/13 6:06:42 PM","905705647","None","","","","N/A"
"03/06/13 6:06:24 PM","905707525","None","","","","N/A"
"03/06/13 6:04:27 PM","905565740","None","","","","N/A"
"03/06/13 6:00:56 PM","905444374","None","","","","N/A"
"03/06/13 5:54:05 PM","905711135","None","","","","N/A"
"03/06/13 5:52:44 PM","905533091","None","","","","N/A"
"03/06/13 5:35:13 PM","905707264","None","","","","N/A"
"03/06/13 5:34:21 PM","905463981","None","","","","N/A"
"03/06/13 5:33:14 PM","905712274","None","","","","N/A"
"03/06/13 5:30:38 PM","905513223","None","","","","N/A"
"03/06/13 5:22:42 PM","905529487","None","","","","N/A"
"03/06/13 5:21:56 PM","905468930","None","","","","N/A"
"03/06/13 5:19:20 PM","905545421","None","","","","N/A"
"03/06/13 5:18:06 PM","905604786","None","","","","N/A"
"03/06/13 5:11:42 PM","905547458","None","","","","N/A"
"03/06/13 5:07:41 PM","905730223","None","","","","N/A"
"03/06/13 5:06:22 PM","905438957","None","","","","N/A"
"03/06/13 5:05:51 PM","905542758","None","","","","N/A"
"03/06/13 5:05:30 PM","905542758","None","","","","N/A"
"03/06/13 4:00:24 PM","905607333","None","","","","N/A"
